sha,download status,download time,test status,test time,mop status,mop time,gen status,gen time,imm status,imm time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
f668b03ea3189827be83ed830f76afbdf5b4d488,0,60.268,0,57.001,0,106.691,0,108.896,0,117.718,0,120.127,0,120.042,0,132.079,0,130.406,0,121.059,0,120.755
1c4b61e41bd7470a8fb774365a213e1255fef765,0,55.193,0,53.487,0,105.955,0,114.603,0,115.007,0,111.385,0,106.216,0,118.116,0,106.503,0,110.460,0,95.432
d2d63828156449cd24650c4af10c2625931a6dc5,0,56.383,0,51.674,0,109.345,0,119.022,0,64.623,0,113.324,0,106.146,0,115.270,0,111.931,0,66.548,0,56.953
6d475e3c8afa180947cd75b1553ce22e6257a59f,0,54.603,0,54.893,0,105.982,0,120.306,0,68.995,0,108.355,0,88.224,0,107.661,0,91.767,0,67.200,0,55.462
3f8e63b03210673c4735fd5aba34cd5f34cecdaf,0,53.669,0,51.697,0,109.398,0,118.489,0,.816,0,1.295,0,1.315,0,1.283,0,1.252,0,1.229,0,1.237
69d6867977ec9aa6ee89832e21b5b296c07f7810,0,54.910,0,51.404,0,108.520,0,119.857,0,64.243,0,1.289,0,1.276,0,1.269,0,1.286,0,1.800,0,1.807
