project,in tracemop,in tinymop,in both,only in tracemop,only in tinymop
jahlborn-jackcessencrypt,10669,10691,9300,1369,1391
kamaladafrica-codice-fiscale,211,123,123,88,0
kohsuke-wordnet-random-name,7,7,7,0,0
kolchagov-java-crud-api,2781,2781,2781,0,0
printingin3d-javascad,7017,7020,6108,909,912
reckart-tt4j,44,44,44,0,0
serg472-htmlcompressor,13445,11260,7426,6019,3834
thegedge-java-radix-tree,3165,3170,3150,15,20
thomasmueller-tinyStats,866,865,852,14,13
xspec-xspec-maven-plugin-1,8977,8965,8175,802,790
yomorun-hashids-java,42,42,42,0,0
ysc-word,1603,1726,1595,8,131
zencoder-zencoder-java,1393,1393,1383,10,10
dernasherbrezon-jradio,7286,7286,7286,0,0
tdebatty-java-LSH,597,609,537,60,72
Kuangcp-NettyBook2,16,16,16,0,0
sangupta-murmur,61,61,61,0,0
lbehnke-hierarchical-clustering-java,3462,3184,2592,870,592
MottoX-TAOMP,17,15,15,2,0
zhaolihe-useragent-parser,5118,3952,3916,1202,36
sonatype-heuristic-version,3955,3955,3955,0,0
pizihao-crow,1223,1223,504,719,719
OnlineCodex-OnlineCodex,0,0,0,0,0
radkovo-Pdf2Dom,6009,6010,5919,90,91
osglworks-java-tool,2020,2011,1945,75,66
kungfoo-geohash-java,0,0,0,0,0
confluentinc-kafka-connect-datagen,0,0,0,0,0
ThoughtWire-hazelcast-locks,3717,3714,2042,1675,1672
pagehelper-Mybatis-PageHelper,4787,3710,3160,1627,550
jdbc-observations-datasource-proxy,5561,5549,5096,465,453
iquadrat-sbb-train-scheduler,6986,6973,6961,25,12
dnsjava-dnsjava,19252,19208,16149,3103,3059
palatable-lambda,43860,43836,43824,36,12
aseldawy-spatialhadoop2,5460,4670,3907,1553,763
delving-x3ml,6345,6241,4399,1946,1842
intive-FDV-DynamicJasper,17953,17981,16573,1380,1408
