project,mop,lazy,trace,mop (GB),lazy (GB),trace (GB)
lbehnke-hierarchical-clustering-java,4070792,8861176,18753108,4.070792,8.861176,18.753108
ThreeTen-threetenbp,1735632,9428940,19610728,1.735632,9.42894,19.610728
yomorun-hashids-java,3502832,7275836,14612360,3.502832,7.275836,14.61236
kungfoo-geohash-java,2640112,6932244,13847916,2.640112,6.932244,13.847916
ctapweb-AutoSubClause,11531620,14920824,29016444,11.53162,14.920824,29.016444
Heroicai0101-abtest,5432176,4459976,8591416,5.432176,4.459976,8.591416
printingin3d-javascad,9233272,11971648,22985712,9.233272,11.971648,22.985712
tdunning-bandit-ranking,6548820,10470272,19342948,6.54882,10.470272,19.342948
kolchagov-java-crud-api,4162524,5723680,10011532,4.162524,5.72368,10.011532
supercargo-guice-persist-jooq,8501404,8580620,14979664,8.501404,8.58062,14.979664
leonhad-paradoxdriver,8239336,9674280,16262756,8.239336,9.67428,16.262756
bonnyfone-vectalign,2497656,7527720,12338492,2.497656,7.52772,12.338492
confluentinc-kafka-connect-datagen,14182072,28329708,46291796,14.182072,28.329708,46.291796
dhatim-business-hours-java,3612240,6884032,11016640,3.61224,6.884032,11.01664
killbilling-recurly-java-library,6942672,10137708,16040864,6.942672,10.137708,16.040864
sonatype-heuristic-version,9630968,11254024,17607556,9.630968,11.254024,17.607556
davidmoten-rxjava-extras,13637420,16623976,25812200,13.63742,16.623976,25.8122
contentful-contentful.java,5787676,8624644,12840540,5.787676,8.624644,12.84054
hoijui-Jawk,8541864,8656432,8520456,8.541864,8.656432,8.520456
iris-edu-stationxml-seed-converter,12272360,23487864,33965396,12.27236,23.487864,33.965396
aelstad-keccakj,7021604,14069792,19829104,7.021604,14.069792,19.829104
aseldawy-spatialhadoop2,12478112,27727796,38587268,12.478112,27.727796,38.587268
jarslab-babel-maven-plugin,12820312,25821372,35851948,12.820312,25.821372,35.851948
apache-commons-codec,9540668,13527172,18572944,9.540668,13.527172,18.572944
bdupras-guava-probably,10691020,11998436,16421340,10.69102,11.998436,16.42134
mvel-mvel,16711616,27441884,37074376,16.711616,27.441884,37.074376
OWASP-url-classifier,12849136,23357240,31410720,12.849136,23.35724,31.41072
jillesvangurp-osm2geojson,8568292,8997760,11960740,8.568292,8.99776,11.96074
theborakompanioni-thymeleaf-extras-shiro,6954572,9508856,12600564,6.954572,9.508856,12.600564
osglworks-java-tool,10849328,19046112,24922648,10.849328,19.046112,24.922648
NLPchina-ansj_seg,13291232,24191268,31518376,13.291232,24.191268,31.518376
simplenlg-simplenlg,18472852,28354956,36617816,18.472852,28.354956,36.617816
tomwhite-set-game,11936192,20619436,26382384,11.936192,20.619436,26.382384
Fundynamic-dune2themaker4j,7679956,10153512,12910924,7.679956,10.153512,12.910924
dnsjava-dnsjava,12329348,36928672,46760892,12.329348,36.928672,46.760892
contentful-contentful-management.java,10886076,17928216,22695484,10.886076,17.928216,22.695484
PeterisP-morphology,22110296,44586240,127553400,22.110296,44.58624,127.5534
iipc-webarchive-commons,10963332,22483864,28342748,10.963332,22.483864,28.342748
Progether-JAdventure,8565832,8775520,8647940,8.565832,8.77552,8.64794
