project,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,TRIE,MAVEN,JUNIT,UNKNOWN
almondtools-stringsearchalgorithms,0,0,23019,4259,0,0,0,37525,18354,94,0,0,2042,3130,2941,3656,3705,0,31450,10772,0,0,,140947
lukfor-pgs-calc,0,0,6618,1358,0,0,0,47598,8835,129,0,4,549,2363,89,680,479,0,11332,116862,0,0,,196896
StarlangSoftware-TurkishSpellChecker,0,0,11528,4193,0,0,0,26803,3050,84,4,0,673,1361,1121,648,5244,0,13862,5926,0,0,,74497
jahlborn-jackcess,0,0,4,33,0,0,0,59341,3,108,0,4,2,16,91,0,0,0,7,111078,0,0,,170687
octavian-h-time-series-math,0,0,16294,3977,0,0,0,12443,13831,364,0,4,1079,1339,841,832,2423,0,13285,12632,0,0,,79344
kapoorlabs-kiara,0,0,29157,4596,0,0,0,8350,52809,102,1,4,3261,9948,8655,1609,13932,0,57552,11276,0,0,,201252
palindromicity-simple-syslog,0,0,3279,360,0,0,0,2058,903,100,0,2,282,301,456,355,488,0,1568,3154,0,0,,13306
graphstream-gs-core,0,0,1018,1379,0,0,0,6147,486,101,0,0,9696,192,77,29,3683,0,662,4216,0,0,,27686
StarlangSoftware-TurkishMorphologicalAnalysis,0,0,14552,9153,0,0,0,22318,3207,91,0,0,692,1999,804,1174,2203,0,13785,7698,0,0,,77676
houbb-segment,0,0,2166,545,0,0,0,3066,1282,83,0,0,235,542,256,359,428,0,1832,2463,0,0,,13257
sangupta-bloomfilter,0,0,1305,2618,0,0,0,8876,923,87,0,0,268,652,327,136,436,0,1341,2294,0,0,,19263
JetBrains-jetCheck,0,0,3382,915,0,0,0,2115,433,90,0,0,482,194,334,410,242,0,1864,1810,0,0,,12271
2captcha-2captcha-java,0,0,4,6571,0,0,0,91,6,321,0,7,10,23,106,2,7,0,5,9181,0,0,,16334
520github-fw-perf-test,0,0,0,3,0,0,0,12,0,88,0,0,0,0,4,0,0,0,2,1033,0,0,,1142
6tail-tyme4j,0,0,15,114,0,0,0,40,97,86,0,0,12,153,234,5,3,0,253,1426,0,0,,2438
abahgat-suffixtree,0,0,216,26,0,0,0,26,44,89,2,0,26,55,228,31,21,0,91,662,0,0,,1517
AccelerationNet-access2csv,0,0,6,13,0,0,0,23,1,92,0,0,6,17,170,0,3,0,5,694,0,0,,1030
acegi-xml-format-maven-plugin,0,0,12,107,0,0,0,71,10,276,0,2,8,21,115,1,0,0,5,5841,0,0,,6469
adminfaces-admin-persistence,0,0,373,429,0,0,0,582,220,157,0,17,39,112,123,61,41,0,362,21816,0,0,,24332
aelstad-keccakj,0,0,2227,8519,0,0,0,1672,673,90,0,0,267,258,183,303,410,0,1139,6217,0,0,,21958
Afrozaar-wp-api-v2-client-java,0,0,6,151,0,0,0,67,9,94,0,8,3,21,83,0,0,0,9,5618,0,0,,6069
agrison-redux4j,0,0,1,433,0,0,0,53,1,86,0,1,4,18,78,0,0,0,3,2034,0,0,,2712
ainslec-picocog,0,0,0,4,0,0,0,16,1,89,0,0,4,13,198,0,0,0,4,285,0,0,,614
ajantis-java-crdt,0,0,3,5,0,0,0,15,1,89,0,0,2,17,169,0,0,0,1,416,0,0,,718
albfernandez-itext2,0,0,954,641,0,0,0,624,238,131,0,5,68,181,177,105,259,0,1020,10479,0,0,,14882
alexcojocaru-elasticsearch-maven-plugin,0,0,159,242,0,0,0,248,41,237,1,5,22,37,122,23,13,0,66,8970,0,0,,10186
AlexP11223-JavaSpringMvcBlog,0,0,6,92,0,0,0,45,3,101,0,0,2,20,139,0,3,0,5,2298,0,0,,2714
alibaba-compileflow,0,0,31,117,0,0,0,67,18,356,0,2,7,23,121,2,1,0,12,6411,0,0,,7168
alibaba-rsocket-broker-rsocket-broker-gateway-mqtt,0,0,1,232,0,0,0,58,1,93,0,0,3,18,72,0,0,0,3,1468,0,0,,1949
aliyun-aliyun-log-flink-connector,0,0,2,7,0,0,0,14,0,96,0,0,2,21,179,0,0,0,3,500,0,0,,824
amazon-archives-aws-request-signing-apache-interceptor,0,0,0,5,0,0,0,16,1,85,0,0,3,19,73,0,0,0,2,462,0,0,,666
amazon-archives-dynamodb-key-diagnostics-library,0,0,175,306,0,0,0,200,94,230,0,5,22,52,72,13,20,0,108,10881,0,0,,12178
apache-commons-cli,0,0,8,22,0,0,0,47,3,97,0,0,7,19,124,0,0,0,11,2057,1,0,,2396
apache-commons-jxpath,0,0,16,3999,0,0,0,367,6,95,0,1,10,25,112,5,4,0,18,4010,0,0,,8668
apache-maven-verifier-plugin,0,0,1,7,0,0,0,16,0,83,0,0,2,21,94,0,0,0,2,336,0,0,,562
apache-sling-org-apache-sling-scripting-sightly,0,0,339,303,0,0,0,271,196,353,0,6,41,54,191,26,39,0,144,12056,0,0,,14019
apache-xmlgraphics-commons,0,0,407,951,0,0,0,493,134,296,10,4,46,112,162,53,42,0,516,8402,0,0,,11628
archervanderwaal-storm-server,0,0,4,97,0,0,0,69,10,115,0,5,5,21,74,1,2,0,13,5358,0,0,,5774
Asana-java-asana,0,0,8,59,0,0,0,47,4,106,0,2,10,18,96,2,1,0,6,2775,0,0,,3134
autermann-yaml,0,0,7,69,0,0,0,43,6,102,0,1,6,15,154,1,1,0,4,3255,0,0,,3664
authlete-authlete-java-common,0,0,14,88,0,0,0,63,5,86,0,3,9,25,111,1,4,0,18,3698,0,0,,4125
aws-amazon-neptune-sigv4-signer,0,0,7,121,0,0,0,71,2,359,0,2,4,16,103,1,4,0,4,6676,0,0,,7370
awslabs-aws-glue-catalog-sync-agent-for-hive,0,0,6,71,0,0,0,67,1,107,0,1,3,25,62,0,1,0,4,4124,0,0,,4472
basdijkstra-tau-rest-assured,0,0,62,1287,0,0,0,284,45,135,0,14,21,38,137,12,11,0,56,18169,0,0,,20271
bazaarvoice-dropwizard-redirect-bundle,0,0,1,31,0,0,0,24,0,88,0,0,2,15,84,0,0,0,1,852,0,0,,1098
bazaarvoice-rison,0,0,37,130,0,0,0,191,31,102,0,5,6,26,205,0,1,0,54,4269,0,0,,5057
bdupras-guava-probably,0,0,1092,1062,0,0,0,589,486,107,0,1,119,216,106,18,16,0,882,2953,0,0,,7647
BellaDati-belladati-sdk-java,0,0,135,465,0,0,0,147,26,108,0,4,41,63,68,7,18,0,87,6291,0,0,,7460
beothorn-URISchemeHandler,0,0,2,2,0,0,0,10,0,83,0,0,2,11,85,0,0,0,3,141,0,0,,339
berlam-github-bucket,0,0,9,154,0,0,0,83,12,113,0,9,5,23,63,0,2,0,8,7380,0,0,,7861
BingAds-BingAds-Java-SDK,0,0,199,6593,0,0,0,251,88,396,0,13,35,87,120,30,35,0,263,22894,0,0,,31004
bingoohuang-excel2javabeans,0,0,213,626,0,0,0,537,397,135,0,13,28,396,138,26,43,0,770,16408,0,0,,19730
bingoohuang-westid,0,0,40,250,0,0,0,59,7,97,0,6,13,16,72,3,19,0,16,5199,0,0,,5797
biouno-figshare-java-api,0,0,2,21,0,0,0,23,1,88,0,0,4,18,74,0,0,0,3,1086,0,0,,1320
biouno-pbs-java-api,0,0,1,1,0,0,0,17,0,91,0,0,2,18,198,0,1,0,3,367,0,0,,699
bkatwal-kafka-util,0,0,15,8538,0,0,0,577,14,143,0,8,24,26,83,0,3,0,11,18774,0,0,,28216
blinkfox-mini-table,0,0,2,4,0,0,0,15,1,88,0,1,4,16,163,0,0,0,1,384,0,0,,679
bpodgursky-jbool_expressions,0,0,24,227,0,0,0,22,5,89,0,0,9,17,128,2,4,0,17,984,0,0,,1528
bruceran-krpc,0,0,15,391,0,0,0,127,11,152,0,14,8,25,78,3,20,0,8,11262,0,0,,12114
brutusin-commons,0,0,0,1885,0,0,0,15,0,82,0,0,4,10,81,0,0,0,2,306,0,0,,2385
ChannelApe-shopify-sdk,0,0,412,2256,0,0,0,418,123,142,0,6,204,99,237,46,62,0,337,10620,0,0,,14962
ChannelFinder-javaCFClient,0,0,1,8,0,0,0,19,1,80,0,0,4,13,110,0,1,0,2,749,0,0,,988
cheese10yun-spring-jpa-best-practices,0,0,67,1198,0,0,0,147,35,452,0,20,19,30,116,4,8,0,52,18693,0,0,,20841
chriswhocodes-FreeLogJ,0,0,3,8,0,0,0,17,0,86,0,0,0,14,202,0,0,0,4,324,0,0,,658
cloudbees-oss-zendesk-java-client,0,0,18,288,0,0,0,123,8,148,0,14,26,20,130,6,3,0,23,14988,0,0,,15795
CODAIT-stocator,0,0,250,768,0,0,0,355,100,1255,0,12,72,221,467,20,31,0,235,34224,0,0,,38010
codeclou-java-junit-xml-merger,0,0,10,37,0,0,0,65,4,94,0,1,9,30,162,0,1,0,8,2774,0,0,,3195
contentful-contentful.java,0,0,135,2305,0,0,0,195,56,321,1,0,65,72,168,24,21,0,116,10264,0,0,,13743
contentful-contentful-management.java,0,0,49,178,0,0,0,93,8,123,0,7,12,22,72,3,11,0,12,11027,0,0,,11617
corentin59-ArtNetStack,0,0,1,0,0,0,0,11,0,81,0,0,1,11,84,0,0,0,1,132,0,0,,322
Coreoz-PPT-Templates,0,0,46,183,0,0,0,64,99,102,0,4,12,68,98,4,13,0,226,7132,0,0,,8051
Coreoz-Wisp,0,0,122,6161,0,0,0,258,15,105,0,1,23,100,126,7,12,0,102,3901,0,0,,10933
cowtowncoder-java-cachemate,0,0,900,160,0,0,0,925,376,87,0,0,44,272,168,67,72,0,693,672,0,0,,4436
crispab-javabuilderpattern,0,0,0,7,0,0,0,19,0,91,0,0,4,15,180,0,0,0,0,476,0,0,,792
ctran-TinyRadius,0,0,1,4,0,0,0,14,0,81,0,0,1,16,104,0,0,0,1,242,0,0,,464
ctrl-alt-dev-tps-parse,0,0,9,7975,0,0,0,28,0,90,0,0,6,18,103,0,3,0,3,1209,0,0,,9444
daanvdh-JavaForger,0,0,2,61,0,0,0,47,1,91,0,2,3,15,106,0,0,0,5,3669,0,0,,4002
damnhandy-Handy-URI-Templates,0,0,5,53566,0,0,0,47,3,92,0,2,3,16,79,3,3,0,9,4366,0,0,,58194
davidmoten-guava-mini,0,0,2,5,0,0,0,19,0,90,0,0,2,23,95,0,0,0,2,344,0,0,,582
davidmoten-word-wrap,0,0,13,36,0,0,0,134,29,92,0,0,9,30,167,0,5,0,16,468,0,0,,999
delthas-JavaMP3,0,0,276,439,0,0,0,26,0,89,0,0,6,36,184,53,632,0,3,323,0,0,,2067
de-mklinger-tomcat-juli-slf4j,0,0,2,1,0,0,0,14,1,92,0,0,4,21,182,0,0,0,2,436,0,0,,755
deniswsrosa-liquicouch,0,0,4,30,0,0,0,65,3,95,0,1,4,18,71,0,2,0,2,2368,0,0,,2663
devopshydclub-vprofile-repo,0,0,11,159,0,0,0,86,9,118,0,6,9,18,118,2,2,0,10,7629,0,0,,8177
dhatim-business-hours-java,0,0,811,126,0,0,0,741,548,86,0,0,88,174,301,98,99,0,375,696,0,0,,4143
dkellenb-formula-evaluator,0,0,2,27,0,0,0,21,3,89,0,0,3,17,154,0,1,0,2,1234,0,0,,1553
dpressel-sgdtk,0,0,2,562,0,0,0,15,1,90,0,0,4,14,144,0,2,0,2,359,0,0,,1195
dreezey-argon2-password-hash-provider,0,0,2,440,0,0,0,50,0,103,0,0,3,23,94,0,1,0,3,3195,0,0,,3914
Driftt-EmailReplyParser,0,0,7,19,0,0,0,19,0,90,0,0,5,13,131,0,0,0,2,1466,0,0,,1752
dsyer-spring-security-rsa,0,0,2,195,0,0,0,17,0,89,0,0,4,15,173,0,0,0,2,769,0,0,,1266
