StarlangSoftware/TurkishSentiNet
dperezcabrera/jpoker
eightbitjim/cassette-nibbler
f4b6a3/uuid-creator
cowtowncoder/java-uuid-generator
zhoujianling/PointCloudUtilities
MezereonXP/AnomalyDetectTool
StarlangSoftware/TurkishPropBank
houbb/sensitive-word
albfernandez/javadbf
almson/almson-refcount
Grundlefleck/ASM-NonClassloadingExtensions
indeedeng/vowpal-wabbit-java
StarlangSoftware/TurkishSpellChecker
StarlangSoftware/TurkishDeasciifier
danieldk/dictomaton
agarciadom/xeger
fusion-jena/JaroWinklerSimilarity
Antibrumm/jackson-antpathfilter
fraunhoferfokus/Fuzzino
davidmoten/rtree-multi
solita/functional-utils
dakusui/jcunit
davidmoten/rtree
codelion/gramtest
conveyal/osm-lib
octavian-h/time-series-math
huaban/jieba-analysis
mocnik-science/geogrid
LiveRamp/HyperMinHash-java
sbesada/java.math.expression.parser
myui/btree4j
wiqer/ef-redis
jingpeicomp/id-generator
StarlangSoftware/TurkishMorphologicalAnalysis
StarlangSoftware/TurkishMorphologicalDisambiguation
houbb/segment
JetBrains/jetCheck
###
